(28, 3, 16, 21, 30, 24, 5)
(28, 3, 21, 11, 6, 27, 36)
(28, 3, 23, 15, 11, 7, 10)
(34, 39, 21, 15, 17, 27, 10)
(28, 32, 20, 21, 15, 12, 30)
(25, 23, 16, 7, 12, 30, 36)
(31, 3, 9, 39, 2, 12, 10)
(34, 32, 3, 39, 15, 2, 5)
(18, 3, 29, 37, 15, 27, 24)
(28, 9, 33, 37, 15, 30, 5)
(9, 39, 11, 2, 30, 35, 5)
(25, 31, 29, 21, 2, 35, 24)
(31, 32, 16, 11, 2, 27, 36)
(34, 20, 9, 29, 2, 27, 10)
(18, 13, 16, 21, 15, 6, 30)
(32, 9, 37, 7, 1, 5, 36)
(9, 29, 39, 21, 10, 1, 35)
(33, 23, 6, 17, 12, 35, 24)
(34, 23, 37, 17, 27, 24, 36)
(28, 18, 9, 16, 11, 12, 5)
(28, 18, 29, 21, 7, 12, 10)
(31, 32, 37, 13, 12, 30, 36)
(20, 23, 21, 7, 2, 1, 36)
(25, 34, 31, 9, 33, 27, 24)
(32, 37, 39, 6, 12, 10, 5)
(18, 9, 23, 37, 21, 2, 30)
(34, 18, 31, 20, 13, 15, 10)
(28, 3, 20, 7, 6, 30, 1)
(31, 9, 39, 13, 6, 17, 24)
(18, 37, 13, 11, 7, 30, 24)
(25, 18, 32, 39, 16, 12, 1)
(3, 33, 23, 7, 27, 30, 24)
(32, 23, 37, 13, 11, 6, 1)
(28, 32, 29, 39, 11, 24, 5)
(25, 3, 13, 11, 12, 27, 30)
(28, 13, 7, 27, 30, 10, 35)
(33, 23, 37, 16, 11, 27, 5)
(28, 23, 16, 6, 1, 24, 36)
(28, 34, 18, 37, 27, 35, 5)
(34, 9, 13, 6, 30, 10, 5)
(25, 28, 18, 13, 2, 6, 17)
(25, 28, 34, 31, 17, 10, 5)
(28, 3, 20, 9, 23, 39, 17)
(31, 3, 29, 23, 11, 6, 17)
(28, 23, 39, 15, 12, 27, 5)
(18, 11, 2, 6, 24, 5, 36)
(25, 31, 3, 39, 7, 27, 36)
(18, 20, 23, 37, 15, 17, 1)
(25, 3, 15, 17, 12, 10, 24)
(34, 3, 16, 15, 27, 30, 36)
(13, 16, 15, 12, 27, 10, 1)
(37, 21, 7, 6, 17, 30, 5)
(34, 18, 32, 23, 15, 7, 27)
(32, 9, 33, 13, 16, 15, 2)
