(11, 38, 22, 4, 29, 5, 24)
(32, 39, 15, 1, 31, 21, 5)
(32, 23, 11, 37, 30, 29, 21)
(3, 23, 26, 27, 4, 16, 28)
(15, 25, 22, 16, 29, 14, 24)
(23, 30, 4, 1, 12, 16, 24)
(32, 13, 36, 1, 6, 2, 21)
(35, 25, 12, 16, 29, 21, 5)
(25, 38, 37, 30, 4, 29, 28)
(18, 38, 37, 27, 1, 14, 21)
(13, 36, 38, 37, 12, 29, 21)
(32, 13, 36, 16, 31, 20, 5)
(3, 13, 27, 1, 16, 2, 14)
(32, 13, 18, 22, 4, 29, 20)
(26, 39, 35, 1, 2, 21, 24)
(26, 35, 37, 30, 6, 16, 29)
(22, 1, 12, 16, 31, 14, 5)
(37, 6, 12, 31, 2, 29, 5)
(13, 27, 22, 4, 14, 28, 5)
(32, 25, 37, 4, 16, 2, 5)
(32, 23, 18, 38, 2, 29, 24)
(32, 13, 18, 12, 14, 28, 24)
(15, 18, 38, 27, 30, 6, 16)
(15, 11, 25, 37, 27, 2, 20)
(23, 26, 15, 18, 1, 16, 2)
(39, 36, 38, 37, 27, 30, 31)
(26, 38, 16, 2, 29, 20, 5)
(3, 23, 15, 36, 27, 30, 2)
(26, 39, 13, 25, 36, 2, 5)
(3, 39, 18, 22, 29, 14, 5)
(35, 11, 27, 12, 16, 2, 24)
(3, 15, 25, 22, 4, 12, 31)
(26, 15, 35, 25, 37, 1, 14)
(3, 39, 25, 38, 27, 29, 21)
(11, 36, 30, 29, 20, 28, 5)
(32, 3, 26, 11, 27, 6, 2)
(32, 39, 13, 25, 30, 6, 28)
(23, 39, 36, 37, 4, 1, 21)
(32, 3, 35, 36, 38, 4, 20)
(13, 37, 30, 1, 31, 28, 24)
(32, 26, 38, 27, 22, 31, 14)
(3, 26, 13, 22, 1, 29, 28)
(23, 27, 1, 31, 21, 20, 28)
(32, 35, 6, 29, 21, 28, 24)
(3, 18, 11, 38, 4, 21, 28)
(32, 35, 37, 4, 12, 29, 14)
(39, 13, 15, 1, 12, 29, 14)
(23, 13, 35, 11, 36, 2, 20)
(3, 23, 25, 38, 4, 1, 2)
(23, 26, 18, 36, 21, 28, 24)
(23, 15, 25, 36, 38, 16, 20)
(18, 4, 31, 14, 21, 20, 5)
(26, 15, 18, 11, 38, 14, 5)
(13, 15, 11, 27, 30, 14, 21)
(32, 26, 13, 35, 36, 37, 28)
(32, 15, 36, 30, 12, 14, 5)
(32, 25, 38, 37, 22, 21, 20)
(27, 30, 4, 31, 29, 21, 24)
(32, 15, 11, 22, 6, 31, 29)
(3, 18, 22, 4, 16, 2, 24)
(32, 3, 25, 27, 30, 31, 20)
(3, 39, 36, 30, 12, 16, 20)
(13, 35, 36, 4, 1, 12, 31)
(3, 39, 13, 11, 38, 12, 2)
(13, 35, 18, 27, 16, 29, 28)
(35, 30, 2, 29, 14, 21, 20)
(23, 13, 15, 18, 27, 22, 12)
(3, 26, 36, 37, 22, 4, 5)
(13, 15, 37, 6, 14, 20, 5)
(23, 26, 35, 18, 38, 37, 31)
(23, 15, 35, 22, 4, 16, 21)
(23, 15, 36, 4, 31, 5, 24)
(3, 39, 13, 15, 36, 6, 24)
(26, 15, 37, 22, 31, 21, 28)
(26, 27, 4, 1, 12, 29, 20)
(3, 26, 39, 18, 38, 30, 24)
(3, 35, 36, 37, 31, 21, 24)
(32, 39, 27, 22, 6, 20, 5)
(3, 25, 37, 16, 20, 28, 24)
(23, 26, 37, 16, 14, 21, 20)
(32, 26, 13, 38, 4, 16, 21)
(32, 18, 25, 4, 1, 12, 21)
(18, 25, 36, 16, 14, 28, 5)
(39, 11, 36, 38, 1, 20, 24)
(39, 11, 37, 31, 29, 14, 24)
(3, 23, 39, 13, 35, 31, 29)
(26, 15, 35, 27, 31, 20, 5)
(26, 13, 35, 11, 6, 31, 21)
(3, 26, 13, 25, 37, 6, 12)
(3, 26, 15, 12, 14, 21, 24)
(15, 35, 38, 4, 14, 28, 24)
(23, 26, 39, 15, 25, 6, 21)
(23, 18, 11, 12, 31, 2, 28)
(23, 26, 35, 36, 27, 22, 1)
(39, 13, 18, 37, 22, 6, 2)
(3, 38, 30, 1, 31, 29, 5)
(32, 39, 25, 1, 2, 29, 20)
(35, 18, 38, 6, 12, 2, 21)
